Name,Type
Lauzet,White
Loureira,White
Luglienga,White
Lumassina,White
Maceratino,White
Madeleine Angevine,White
Majarcă Albă,White
Malvar,White
"Malvasia, includes several sub-varieties",White
Mantonico bianco,White
Manteudo,White
Marsanne,White
Marzemina bianca,White
Mauzac,White
Merlot blanc,White
Meslier St-François,White
Mezesfehér,White
Minella bianca,White
Miousap,White
Molette,White
Moll,White
Montonico bianco,White
Montu,White
Morio-Muskat,White
Moscatel Rosada,White
Moscato Giallo,White
Mtsvane,White
Muscadelle (Tokay in Australia),White
Muscat Ottonel,White
Nasco,White
Neherleschol,White
Neuburger,White
Nobling,White
Nosiola,White
Nuragus,White
Ondenc,White
Optima,White
Oraniensteiner,White
Orion,White
Ortega,White
Ortrugo,White
Oz,White
Pagedebit,White
Pallagrello bianco,White
Parč,White
Parellada,White
Pascal blanc,White
Passerina,White
Pedro Giménez,White
Perle,White
Petit Courbu,White
Petit Meslier,White
Petite Arvine,White
Pigato,White
Pignerol,White
Pignoletto,White
Pinella,White
Planta Fina,White
Planta Nova,White
Pošip,White
Prunesta,White
Rabigato,White
Rabo de Ovelha,White
Raisin blanc,White
Regner,White
Reichensteiner,White
Retagliado bianco,White
Rèze,White
Rieslaner,White
Rkatsiteli,White
Robola,White
Rollo,White
Romorantin,White
Rossese bianco,White
Roter Veltliner,White
Rotgipfler,White
Roussanne,White
Rovello bianco,White
Sabro,White
Ste Marie,White
Saint-Pierre Doré,White
Savatiano,White
Scheurebe,White
Schönburger,White
Sémillon,White
Septiner,White
Sideritis,White
Siegerrebe,White
Mátrai Muskotály,White
Smederevka,White
Souvignier gris,White
Spagnol,White
Sultana,White
Symphony,White
Taminga,White
Tempranillo blanco,White
Téoulier,White
Terrantez,White
Terret gris,White
Timorasso,White
Trbljan,White
Tsaoussi,White
Tsolikauri,White
Vega,White
Verdea,White
Verdeca,White
Verdejo,White
Verdello,White
Verdesse,White
Verdicchio,White
Verdoncho,White
Verduzzo,White
Verduzzo Trevigiano,White
Vernaccia,White
Vernaccia di Oristano,White
Veroga,White
Versoaln,White
Vespaiola,White
Vilana,White
Vinhao,White
Viognier,White
Viosinho,White
Vital (grape),White
Vitovska,White
Voskehat,White
Vugava,White
Weldra,White
Würzer,White
Xynisteri,White
Zala Gyöngye,White
Zalema,White
Zefir,White
Zenit,White
Zengő,White
Zeusz,White
Žilavka,White
Žlahtina,White
Aidani ,White
Alarije ,White
